"","Aves Engel2000.unidsp.mult","Bycanistes brevis","Cercopithecus mitis","Civettictis civetta","Colius striatus","Colobus angolensis","Cricetomys gambianus","Eidolon helvum","Epomophorus wahlbergi","Francolinus afer","Genetta maculata","Gerrhosaurus major","Hystrix africaeaustralis","Ichneumia albicauda","Kinixys belliana","Lonchura nigriceps","Loxodonta africana","Nandinia binotata","Neotragus moschatus","Otolemur garnettii","Papio cynocephalus","Paraxerus Engel2000.unidsp.1","Ploceus cucullatus","Rodentia Engel2000.unidsp.mult","Rousettus Engel2000.unidsp.mult","Stigmochelys pardalis","Sylvicapra grimmia","Tockus alboterminatus","Tragelaphus scriptus","Treron calvus","Viverridae Engel2000.unidsp.mult"
"Phyllanthus reticulatus",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Pinus caribaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polysphaeria parvifolia",0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Pouteria alnifolia",0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0
"Psidium guajava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Psychotria amboniana",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0
"Psychotria capensis subsp. riparia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Psychotria Engel2000.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Psychotria holtzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Psychotria lauracea",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Quassia undulata",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rauvolfia mombasiana",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"Rawsonia lucida",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Rhoicissus tridentata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rourea orientalis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Rytigynia celastroides",0,0,1,7,0,0,1,0,0,0,34,0,0,0,0,0,15,3,0,3,8,0,0,0,0,2,0,0,0,0,10
"Rytigynia Engel2000.unidsp.1",0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rytigynia Engel2000.unidsp.2",0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rytigynia Engel2000.unidsp.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Rytigynia Engel2000.unidsp.4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,9
"Rytigynia Engel2000.unidsp.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Rytigynia Engel2000.unidsp.6",0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rytigynia Engel2000.unidsp.7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saba comorensis",0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,1
"Salacia leptoclada",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Scleria lithosperma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Senna siamea",0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Senna spectabilis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Sida cordifolia",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smilax anceps",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"Sorindeia madagascariensis",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Sphaerocoryne gracilis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Strychnos angolensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Strychnos Engel2000.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Strychnos mellodora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Strychnos scheffleri",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Strychnos spinosa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Suregada zanzibariensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syagrus Engel2000.unidsp.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synaptolepis kirkii",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Synsepalum brevipes",0,5,2,6,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,4,11,0,0,0,0,1,0,1,0,0,1
