"","Aburria jacutinga","Attila rufus","Cacicus haemorrhous","Carpornis cucullata","Carpornis melanocephala","Celeus flavescens","Chiroxiphia caudata","Chlorophanes spiza","Chlorophonia cyanea","Cnemotriccus fuscatus","Coereba flaveola","Cyanocorax caeruleus","Dacnis cayana","Elaenia obscura","Euphonia pectoralis","Euphonia violacea","Habia rubica","Hemithraupis guira","Hemithraupis ruficapilla","Ilicura militaris","Lathrotriccus euleri","Legatus leucophaius","Lipaugus lanioides","Manacus manacus","Megarynchus pitangua","Mionectes rufiventris","Myiodynastes maculatus","Orchesticus abeillei","Orthogonys chloricterus","Oxyruncus cristatus","Pachyramphus castaneus","Pachyramphus polychopterus","Pachyramphus viridis","Patagioenas cayennensis","Patagioenas picazuro","Patagioenas plumbea","Penelope obscura","Penelope superciliaris","Phylloscartes oustaleti","Pipraeidea melanonota","Pitangus sulphuratus","Procnias nudicollis","Pyroderus scutatus","Ramphastos dicolorus","Ramphastos vitellinus","Saltator fuliginosus","Schiffornis virescens","Selenidera maculirostris","Sirystes sibilator","Tachyphonus coronatus","Tachyphonus cristatus","Tangara cyanocephala","Tangara cyanoptera","Tangara seledon","Tersina viridis","Thraupis ornata","Thraupis palmarum","Thraupis sayaca","Tityra cayana","Tityra inquisitor","Trichothraupis melanops","Trogon rufus","Trogon viridis","Turdus albicollis","Turdus flavipes","Turdus rufiventris","Vireo olivaceus"
"Leandra variabilis",0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,1,0,0,0,7,0,0,4,0,0,0
"Maprounea brasiliensis",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,4,0,0,1,1,1,0,0,1
"Maytenus alaternoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maytenus Machado-de-Souza2019.unidsp.277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Miconia cabucu",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Miconia cinerascens",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,1,3,0,1,0,0,0,0,2,0,0,2,0,0,0
"Miconia cinnamomifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"Miconia cubatanensis",0,0,0,0,0,0,2,0,1,0,0,0,1,0,2,5,0,0,2,0,0,0,0,1,1,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,1,1,0,0,1
"Miconia dodecandra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"Miconia Machado-de-Souza2019.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0
