"","study_id","net_id","latitude","longitude","latlon_id","locality_id","locality","location_notes","region","continental_island","oceanic_island","elevation","season_id","anthro_drivers","data_type","sampling_method","sampling_unit","ind_quant_unit","sampling_hours","sampling_days","sampling_period_months","year","plant_coverage","plant_sampling_type","target_birds","target_bats","target_primates","target_mamm_carns","target_mamm_herbs","target_mamm_others","target_fish","target_herps","specify_nfm_targets","reg"
"KITA mammals added","KITA mammals added","KITA mammals added",14.16667,101.4583,"150.latlon.id","Khao Yai","Thailand",NA,"Oriental","no","no",NA,NA,NA,"bin","focal obs","bin feeding visits","no",180,NA,"3",1999,"sub","repr","comp","no","comp","sub","no","sub","no","no","squirrels","Oriental"
"SAAV1","SAAV","SAAV1",-16.4103,-67.5267,"16.latlon.id","Chulumani","Bolivia","The forest and interior sites were reported individually, although these were collected in two areas. So cant interpret as distinct locations…","Amazonian","no","no",NA,NA,"forest interior","quant","general obs","frugivore visits","yes",384,NA,NA,2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"SAAV2","SAAV","SAAV2",-16.4103,-67.5267,"16.latlon.id","Chulumani","Bolivia",NA,"Amazonian","no","no",NA,NA,"forest edge","quant","general obs","frugivore visits","yes",384,NA,NA,2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"SARM whole network from paper","SARM whole network from paper","SARM whole network from paper",-8.966667,-36.05,"130.latlon.id","Pernambuco","Brazil",NA,"South American","no","no",550,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,"18",2008,"comp","repr","comp","comp","no","no","no","no","no","no",NA,"Neotropical"
"VELHO","VELHO","VELHO",27.30833,92.775,"205.latlon.id","Arunachal Pradesh","India","Arunachal Pradesh. Average of two sites where these data were collected for each of theunlogged and logged forest types","Oriental","no","no",NA,"winter","unlogged forest","quant","focal obs","frugivore visits","yes",NA,NA,"3",2010,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"VELHO2","VELHO","VELHO2",27.01667,92.55,"203.latlon.id","Arunachal Pradesh","India","Arunachal Pradesh. Average of two sites where these data were collected for each of theunlogged and logged forest types","Oriental","no","no",NA,"winter","logged forest","quant","focal obs","frugivore visits","yes",NA,NA,"3",2010,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Faria 1996","Faria 1996","Faria 1996",-22.74583,-47.10917,"54.latlon.id","Reserva de Santa Genebra","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,"16",1994,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Garcia et al. 2000","Garcia et al. 2000","Garcia et al. 2000",-19.66667,-42.91667,"32.latlon.id","Antonio Dias","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",1800,NA,"11",1996,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Hayashi 1996","Hayashi 1996","Hayashi 1996",-22.849,-48.406,"58.latlon.id","Botucatu","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,NA,NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Kalko BCI zero intx removed","Kalko BCI zero intx removed","Kalko BCI zero intx removed",9.15,-79.85,"298.latlon.id","Barro Colorado Island","Panama",NA,"Panamanian","no","no",NA,NA,NA,"bin","mist netting","fecal with species","yes",NA,NA,"120",1980,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Lopez & Vaughn 2004","Lopez & Vaughn 2004","Lopez & Vaughn 2004",10.43333,-83.98333,"139.latlon.id","La Selva","Costa Rica","Multiple habitat types sampled","Panamanian","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,"9",1995,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Silveira 2006","Silveira 2006","Silveira 2006",-22.370941,-46.980952,"47.latlon.id","Parque Florestal Sao Marcelo","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,NA,NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Aguiar 2007","Aguiar 2007","Aguiar 2007",-19.8333333333333,-41.8333333333333,"35.latlon.id","Reserva Particular do Patrimonio Natural Feliciano Miguel Abdala","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,33,"11",1990,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Aguilar-Garavito 2014 mature","Aguilar-Garavito 2014","Aguilar-Garavito 2014 mature",4.673611,-75.615,"237.latlon.id","Bremen-La Popa Forest Reserve","Colombia","Forest type based networks collected at multiple sites, cant separate locations","Amazonian","no","no",NA,NA,"mature forest","quant","mist netting","fecal with species","yes",NA,NA,"7",NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Aguilar-Garavito 2014 seven","Aguilar-Garavito 2014","Aguilar-Garavito 2014 seven",4.673611,-75.615,"237.latlon.id","Bremen-La Popa Forest Reserve","Colombia","Forest type based networks collected at multiple sites, cant separate locations","Amazonian","no","no",NA,NA,"seven years of regeneration","quant","mist netting","fecal with species","yes",NA,NA,"8",NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Aguilar-Garavito 2014 one","Aguilar-Garavito 2014","Aguilar-Garavito 2014 one",4.673611,-75.615,"237.latlon.id","Bremen-La Popa Forest Reserve","Colombia","Forest type based networks collected at multiple sites, cant separate locations","Amazonian","no","no",NA,NA,"one year of regeneration","quant","mist netting","fecal with species","yes",NA,NA,"9",NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Aguilar-Garavito 2014 pasture","Aguilar-Garavito 2014","Aguilar-Garavito 2014 pasture",4.673611,-75.615,"237.latlon.id","Bremen-La Popa Forest Reserve","Colombia","Forest type based networks collected at multiple sites, cant separate locations","Amazonian","no","no",NA,NA,"pasture","quant","mist netting","fecal with species","yes",NA,NA,"10",NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Albrecht 11_2012","Albrecht 2013","Albrecht 11_2012",52.845312,23.809758,"283.latlon.id","Bialowieza Forest 11","Poland",NA,"Eurasian","no","no",NA,NA,"logged, fragment","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 13_2012","Albrecht 2013","Albrecht 13_2012",52.832209,23.772104,"280.latlon.id","Bialowieza Forest 13","Poland",NA,"Eurasian","no","no",NA,NA,"logged, fragment","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 15_2012","Albrecht 2013","Albrecht 15_2012",52.691722,23.84074,"271.latlon.id","Bialowieza Forest 15","Poland",NA,"Eurasian","no","no",NA,NA,"logged, fragment","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 30_2012","Albrecht 2013","Albrecht 30_2012",52.688673,23.877749,"272.latlon.id","Bialowieza Forest 30","Poland",NA,"Eurasian","no","no",NA,NA,"logged, edge","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 35_2012","Albrecht 2013","Albrecht 35_2012",52.85407,23.729802,"282.latlon.id","Bialowieza Forest 35","Poland",NA,"Eurasian","no","no",NA,NA,"logged, edge","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 36_2012","Albrecht 2013","Albrecht 36_2012",52.872765,23.722445,"284.latlon.id","Bialowieza Forest 36","Poland",NA,"Eurasian","no","no",NA,NA,"logged, fragment","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 102_2011","Albrecht 2013","Albrecht 102_2011",52.70307,23.653528,"274.latlon.id","Bialowieza Forest 102","Poland",NA,"Eurasian","no","no",NA,NA,"logged, interior","quant","focal obs","feeding visits","yes",NA,NA,NA,2011,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 102_2012","Albrecht 2013","Albrecht 102_2012",52.70307,23.653528,"274.latlon.id","Bialowieza Forest 102","Poland",NA,"Eurasian","no","no",NA,NA,"logged, interior","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 111_2011","Albrecht 2013","Albrecht 111_2011",52.717234,23.816766,"275.latlon.id","Bialowieza Forest 111","Poland",NA,"Eurasian","no","no",NA,NA,"logged, edge","quant","focal obs","feeding visits","yes",NA,NA,NA,2011,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 111_2012","Albrecht 2013","Albrecht 111_2012",52.717234,23.816766,"275.latlon.id","Bialowieza Forest 111","Poland",NA,"Eurasian","no","no",NA,NA,"logged, edge","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 112_2011","Albrecht 2013","Albrecht 112_2011",52.733813,23.789229,"276.latlon.id","Bialowieza Forest 112","Poland",NA,"Eurasian","no","no",NA,NA,"logged, edge","quant","focal obs","feeding visits","yes",NA,NA,NA,2011,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 112_2012","Albrecht 2013","Albrecht 112_2012",52.733813,23.789229,"276.latlon.id","Bialowieza Forest 112","Poland",NA,"Eurasian","no","no",NA,NA,"logged, edge","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 203_2011","Albrecht 2013","Albrecht 203_2011",52.704294,23.622402,"273.latlon.id","Bialowieza Forest 203","Poland",NA,"Eurasian","no","no",NA,NA,"logged, interior","quant","focal obs","feeding visits","yes",NA,NA,NA,2011,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 203_2012","Albrecht 2013","Albrecht 203_2012",52.704294,23.622402,"273.latlon.id","Bialowieza Forest 203","Poland",NA,"Eurasian","no","no",NA,NA,"logged, interior","quant","focal obs","feeding visits","yes",NA,NA,NA,2012,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
"Albrecht 301_2011","Albrecht 2013","Albrecht 301_2011",52.742522,23.833125,"278.latlon.id","Bialowieza Forest 301","Poland",NA,"Eurasian","no","no",NA,NA,"old growth, interior","quant","focal obs","feeding visits","yes",NA,NA,NA,2011,"sub","repr","comp","no","no","comp","no","comp","no","no","rodents, carnivores","Palearctic"
