"","study_id","net_id","latitude","longitude","latlon_id","locality_id","locality","location_notes","region","continental_island","oceanic_island","elevation","season_id","anthro_drivers","data_type","sampling_method","sampling_unit","ind_quant_unit","sampling_hours","sampling_days","sampling_period_months","year","plant_coverage","plant_sampling_type","target_birds","target_bats","target_primates","target_mamm_carns","target_mamm_herbs","target_mamm_others","target_fish","target_herps","specify_nfm_targets","reg"
"Khan 1994","Khan 1994","Khan 1994",21.12,70.83,"185.latlon.id","Gir National Park","India",NA,"Oriental","no","no",NA,NA,NA,"bin","animal follows","binary","no",NA,NA,"24",1988,"comp","repr","no","no","no","no","sub","no","no","no",NA,"Oriental"
"Kitamura 2002","Kitamura 2002","Kitamura 2002",14.16667,101.4583,"150.latlon.id","Khao Yai","Thailand",NA,"Oriental","no","no",NA,NA,NA,"bin","focal obs, fecal","binary fecal or feeding visit","no",NA,NA,"46",2000,"comp","repr","comp","no","comp","comp","comp","sub","no","no","squirrels","Oriental"
"Koike 2008","Koike 2008","Koike 2008",35.84,139.059,"219.latlon.id","Okutama","Japan",NA,"Japanese","yes","no",NA,NA,NA,"quant","found feces","fecal with species","yes",NA,NA,"36",2004,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Sino-Japanese"
"Kone 2008","Kone 2008","Kone 2008",6.07,-7.47,"287.latlon.id","Tai National Park","Côte d'Ivoire",NA,"Guineo-Congolian","no","no",NA,NA,NA,"bin","animal follows","binary","no",NA,NA,"120",1996,"comp","repr","no","no","comp","no","no","no","no","no",NA,"Afrotropical"
"Labbe 2011","Labbe 2011","Labbe 2011",42.4,-73,"254.latlon.id","Western Massachusetts","USA","multiple sites in region","North American","no","no",NA,NA,NA,"quant","transect walk","feeding visits","yes",NA,NA,"4",2008,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Nearctic"
"Lefevre 2008","Lefevre 2008","Lefevre 2008",11.28333,-60.616667,"147.latlon.id","Main Ridge Forest Reserve","Trinidad and Tobago","ISLAND: Tobago","Amazonian","yes","no",NA,NA,NA,"bin","general obs, mist netting, focal obs","binary","no",NA,NA,NA,2003,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Lessa 2010","Lessa 2010","Lessa 2010",-18.15,-43.38333,"22.latlon.id","Parque Estadual do Rio Preto","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","live trapping","fecal with species","yes",NA,NA,"14",2006,"comp","repr","no","no","no","sub","no","no","no","no","marsupials","Neotropical"
"Lessa 2013","Lessa 2013","Lessa 2013",-18.15,-43.38333,"22.latlon.id","Parque Estadual do Rio Preto","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","live trapping","fecal with species","yes",NA,NA,"36",2010,"comp","repr","no","no","no","sub","no","no","no","no","marsupials","Neotropical"
"Lima 2016","Lima 2016","Lima 2016",-19.145,-40.052,"27.latlon.id","Reserva Natural Vale, estado do Espírito Santo","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,NA,"72",2010,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Llewellyn 1952","Llewellyn 1952","Llewellyn 1952",39.059,-76.785,"231.latlon.id","Patuxent Research Refuge","USA",NA,"North American","no","no",NA,NA,NA,"bin","kill trapping","binary","no",NA,NA,NA,1945,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Nearctic"
"Loayza 2006","Loayza 2006","Loayza 2006",-16.433,-68.9,"17.latlon.id","Estacion Biologica Tunquini","Bolivia",NA,"South American","no","no",NA,NA,NA,"bin","mist netting","binary","no",NA,72,"13",2000,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Lopez-Bao 2015 1976","Lopez-Bao 2015","Lopez-Bao 2015 1976",42.6,-7.16,"256.latlon.id","Serra do Courel","Spain",NA,"Eurasian","no","no",1150,NA,NA,"bin","found feces","binary fecal","no",NA,NA,NA,1977,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Lopez-Bao 2015 2006","Lopez-Bao 2015","Lopez-Bao 2015 2006",42.6,-7.16,"256.latlon.id","Serra do Courel","Spain",NA,"Eurasian","no","no",1150,NA,NA,"bin","found feces","binary fecal","no",NA,NA,NA,2008,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Lou 2005","Lou 2005","Lou 2005",17.06944,-89.4,"161.latlon.id","Yaxha, Peten","Guatemala",NA,"Panamanian","no","no",NA,NA,NA,"quant","mist netting","feeding visits","yes",NA,NA,"11",1999,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Lou 2007","Lou 2007","Lou 2007",15.78653,-88.84256,"155.latlon.id","Biotopo Chocon Machacas","Guatemala",NA,"Panamanian","no","no",NA,NA,NA,"quant","mist netting","feeding visits","yes",NA,NA,"14",2005,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Lozano-Rios 2013","Lozano-Rios 2013","Lozano-Rios 2013",6,-75.84,"286.latlon.id","Cauca River Middle Basin","Colombia",NA,"Amazonian","no","no",NA,NA,NA,"bin","mist netting","binary fecal","no",NA,NA,NA,NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"MacFarlane 2016","MacFarlane 2016","MacFarlane 2016",-42.377,173.616,"121.latlon.id","Kowhai Bush","New Zealand",NA,"Novozelandic","yes","no",70,NA,NA,"quant","mist netting, general obs","fecal with species","yes",NA,NA,"3",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Machado-de-Souza 2019","Machado-de-Souza 2019","Machado-de-Souza 2019",-25.2,-48.366666,"75.latlon.id","Reserva Natural Papagaio-de-cara-roxa and Reserva Natural Salto Morato","Brazil",NA,"South American","no","no",140,NA,"Sites at multiple successional stages 18 to 100 years","quant","focal observations","feeding visits","yes",NA,NA,"18",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Mackinnon 1980","Mackinnon 1980","Mackinnon 1980",3.716667,102.283333,"214.latlon.id","Kuala Lompat, Krau Game Reserve.","Malaysia",NA,"Indo-Malayan","no","no",NA,NA,NA,"quant","animal follows","percent of diet","no",1638,50,"7",1973,"sub","repr","no","no","comp","no","no","no","no","no",NA,"Oriental"
"Maguina 2012","Maguina 2012","Maguina 2012",-13.05,-71.548,"13.latlon.id","Valle de Kosnipata","Peru",NA,"Amazonian","no","no",1350,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,"10",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Malacco da Silva 2014","Malacco da Silva 2014","Malacco da Silva 2014",-18.95,-48.2,"25.latlon.id","Reserva do Clube Caca e Pesca Itororo","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","transect walk","feeding visits","yes",196,49,"12",2001,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Malmborg 1988 1980","Malmborg 1988","Malmborg 1988 1980",40.11639,-88.24333,"243.latlon.id","Trelease Woods","USA",NA,"North American","no","no",NA,NA,"728","quant","transect walk","feeding visits","yes",NA,30,"1",1980,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Nearctic"
"Malmborg 1988 1981","Malmborg 1988","Malmborg 1988 1981",40.11639,-88.24333,"243.latlon.id","Trelease Woods","USA",NA,"North American","no","no",NA,NA,"728","quant","transect walk","feeding visits","yes",NA,30,"1",1981,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Nearctic"
"Malmborg 1988 1982","Malmborg 1988","Malmborg 1988 1982",40.11639,-88.24333,"243.latlon.id","Trelease Woods","USA",NA,"North American","no","no",NA,NA,"728","quant","transect walk","feeding visits","yes",NA,30,"1",1982,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Nearctic"
"Mancina 2007 wet","Mancina 2007","Mancina 2007 wet",22.85,-82.93333,"200.latlon.id","Sierra del Rosario Biosphere Reserve","Cuba","multiple sites in region","Panamanian","yes","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,24,"17",2002,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Mancina 2007 dry","Mancina 2007","Mancina 2007 dry",22.85,-82.93333,"200.latlon.id","Sierra del Rosario Biosphere Reserve","Cuba","multiple sites in region","Panamanian","yes","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,24,"17",2002,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Marcos da Silva 2013","Marcos da Silva 2013","Marcos da Silva 2013",-18.9166666666667,-48.2833333333333,"24.latlon.id","Clube Caca e Pesca Itororo, Uberlandia","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",300,NA,"13",2012,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Matias 2010 year 2006","Matias 2010","Matias 2010 year 2006",37.0833,-3.4666667,"222.latlon.id","Sierra Nevada National Park","Spain",NA,"Eurasian","no","no",1750,NA,NA,"quant","found feces","seeds","no",NA,52,"12",2007,"comp","repr","no","no","no","comp","sub","no","no","no",NA,"Palearctic"
"Matias 2010 year 2005","Matias 2010","Matias 2010 year 2005",37.0833,-3.4666667,"222.latlon.id","Sierra Nevada National Park","Spain",NA,"Eurasian","no","no",1750,NA,NA,"quant","found feces","seeds","no",NA,52,"12",2006,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Matias 2010 year 2004","Matias 2010","Matias 2010 year 2004",37.0833,-3.4666667,"222.latlon.id","Sierra Nevada National Park","Spain",NA,"Eurasian","no","no",1750,NA,NA,"quant","found feces","seeds","no",NA,52,"12",2005,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Mello 2014 Mata de Grota","Mello 2014","Mello 2014 Mata de Grota",-21.712,-43.89757,"43.latlon.id","Mata de Grota, Parque Estadual do Ibitipoca","Brazil",NA,"South American","no","no",1500,NA,NA,"quant","mistnetting","fecal with species","yes",NA,31,"14",2012,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Mello 2014 Mata Grande","Mello 2014","Mello 2014 Mata Grande",-21.71615,-43.87969,"44.latlon.id","Mata Grande, Parque Estadual do Ibitipoca","Brazil",NA,"South American","no","no",1500,NA,NA,"quant","mistnetting","fecal with species","yes",NA,26,"14",2012,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Menke 2012 interior little dist","Menke 2012","Menke 2012 interior little dist",0.2916667,34.79167,"133.latlon.id","Kakamega Forest, Kenya","Kenya",NA,"African","no","no",1600,NA,"interior, little disturbed","quant","focal obs","feeding visits","yes",NA,NA,"3",2009,"sub","stand","comp","no","comp","no","no","no","no","no",NA,"Afrotropical"
"Menke 2012 edge little dist","Menke 2012","Menke 2012 edge little dist",0.2916667,34.79167,"133.latlon.id","Kakamega Forest, Kenya","Kenya",NA,"African","no","no",1601,NA,"edge, little disturbed","quant","focal obs","feeding visits","yes",NA,NA,"3",2009,"sub","stand","comp","no","comp","no","no","no","no","no",NA,"Afrotropical"
"Menke 2012 interior highly dist","Menke 2012","Menke 2012 interior highly dist",0.2916667,34.79167,"133.latlon.id","Kakamega Forest, Kenya","Kenya",NA,"African","no","no",1602,NA,"interior, highly disturbed","quant","focal obs","feeding visits","yes",NA,NA,"3",2009,"sub","stand","comp","no","comp","no","no","no","no","no",NA,"Afrotropical"
"Menke 2012 edge highly dist","Menke 2012","Menke 2012 edge highly dist",0.2916667,34.79167,"133.latlon.id","Kakamega Forest, Kenya","Kenya",NA,"African","no","no",1603,NA,"edge, highly disturbed","quant","focal obs","feeding visits","yes",NA,NA,"3",2009,"sub","stand","comp","no","comp","no","no","no","no","no",NA,"Afrotropical"
"Mikich 2002","Mikich 2002","Mikich 2002",-23.9166666666667,-51.95,"65.latlon.id","Parque Estadual de Vila Rica do Espirito Santo","Brazil",NA,"South American","no","no",330,NA,NA,"bin","mistnetting","binary fecal with species","no",NA,27,"10",1997,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Milton 2001","Milton 2001","Milton 2001",-30,21,"93.latlon.id","Northern and Western Cape province","South Africa","multiple sites in region across northern and western cape province spread by a few degrees","African","no","no",NA,NA,NA,"bin","found feces","binary fecal","no",NA,NA,"120",1993,"comp","stand","no","no","no","comp","comp","no","no","no",NA,"Afrotropical"
"Mokotjomela 2013","Mokotjomela 2013","Mokotjomela 2013",-34,19,"101.latlon.id","Cape floristic region","South Africa","multiple sites across several degrees in cape region","African","no","no",NA,NA,NA,"quant","focal obs","feeding visits per day","no",NA,NA,"18",2010,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Afrotropical"
"Montalvan 2015","Montalvan 2015","Montalvan 2015",-4.213,-73.734,"105.latlon.id","Quebrada Yanayuca","Peru",NA,"Amazonian","no","no",NA,NA,NA,"bin","transect walk","binary","no",NA,NA,"14",2010,"comp","repr","no","no","comp","comp","comp","sub","no","no","rodents","Neotropical"
"Moraes Weber 2011","Moraes Weber 2011","Moraes Weber 2011",-29.66667,-53.71667,"87.latlon.id","Santa Maria, Rio Grande do Sul","Brazil",NA,"South American","no","no",362,NA,NA,"quant","mist netting","fecal with species","yes",NA,48,"12",2005,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Moreno-Mosquera 2011","Moreno-Mosquera 2011","Moreno-Mosquera 2011",3.833333,-76.33333,"215.latlon.id","Reserva Foestal Natural de Yotoco","Colombia",NA,"Amazonian","no","no",1450,NA,NA,"bin","mist netting","binary fecal","no",NA,NA,"5",2009,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Munin 2012","Munin 2012","Munin 2012",-19.56667,-56.23333,"31.latlon.id","Rio Negro farm, Mato Grosso do Sul","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,66,"58",2005,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Munster 2008","Munster 2008","Munster 2008",-25.166666,-48.25,"74.latlon.id","Reserva Natural do Salto Morato","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,33,"11",2008,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Nogales 2017","Nogales 2017","Nogales 2017",-0.701,-90.319,"2.latlon.id","Santa Cruz and San Cristobal","Galapagos","ISLAND: Galapagos. Multiple sites in region","Amazonian","no","yes",NA,NA,NA,"quant","mistnetting, found feces","fecal with species","yes",NA,NA,"12",NA,"comp","repr","comp","no","no","no","no","no","no","comp",NA,"Galapagos"
"Noma 1997","Noma 1997","Noma 1997",30.33333,130.5,"217.latlon.id","Mt Kunibari","Japan",NA,"Japanese","yes","no",1323,NA,NA,"quant","trail walk","frequency score","no",NA,NA,"16",1989,"comp","repr","comp","no","comp","no","no","no","no","no",NA,"Sino-Japanese"
"Novoa 2011","Novoa 2011","Novoa 2011",-3.8,-80.3,"90.latlon.id","Parque Nacional Cerros de Amotape","Peru",NA,"Amazonian","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,"6",2007,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Odonnell 1994","Odonnell 1994","Odonnell 1994",-43.75,169.4,"123.latlon.id","Windbag Valley","New Zealand",NA,"Novozelandic","yes","no",550,NA,NA,"quant","transect walk","feeding visits","yes",NA,NA,"26",1984,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Olea-Wagner 2007 PDLG dry","Olea-Wagner 2007","Olea-Wagner 2007 PDLG dry",16.15703,-90.8985,"156.latlon.id","Playon de la Gloria","Mexico",NA,"Panamanian","no","no",NA,"dry",NA,"quant","mist netting","fecal with species","yes",NA,15,"7",2004,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Olea-Wagner 2007 PDLG wet","Olea-Wagner 2007","Olea-Wagner 2007 PDLG wet",16.15703,-90.8985,"156.latlon.id","Playon de la Gloria","Mexico",NA,"Panamanian","no","no",NA,"wet",NA,"quant","mist netting","fecal with species","yes",NA,15,"7",2004,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Olea-Wagner 2007 REBIMA dry","Olea-Wagner 2007","Olea-Wagner 2007 REBIMA dry",16.1593,-90.90726,"157.latlon.id","Reserva de la Biostera de Montes Azules","Mexico",NA,"Panamanian","no","no",NA,"dry",NA,"quant","mist netting","fecal with species","yes",NA,15,"7",2004,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Olea-Wagner 2007 REBIMA wet","Olea-Wagner 2007","Olea-Wagner 2007 REBIMA wet",16.1593,-90.90726,"157.latlon.id","Reserva de la Biostera de Montes Azules","Mexico",NA,"Panamanian","no","no",NA,"wet",NA,"quant","mist netting","fecal with species","yes",NA,15,"7",2004,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Olesen 2018","Olesen 2018","Olesen 2018",-0.94,-91,"3.latlon.id","Multiple islands in Galapagos","Galapagos","ISLAND: Galapagos","Amazonian","no","yes",NA,NA,NA,"bin","mist netting","binary fecal","no",NA,NA,"50",2012,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Galapagos"
"Ortiz-Pulido 2000","Ortiz-Pulido 2000","Ortiz-Pulido 2000",19.6,-96.3802777777778,"179.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",100,NA,NA,"bin","transect walk","binary feeding visit","no",NA,NA,"12",1993,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Palacios 2016","Palacios 2016","Palacios 2016",3.54,-76.61,"211.latlon.id","San Antonio","Colombia",NA,"Amazonian","no","no",2000,NA,NA,"bin","transect walk","binary feeding visit","no",NA,NA,"8",NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Palita 2011","Palita 2011","Palita 2011",29.6333333333333,79.6,"207.latlon.id","GBPIHED campus","India",NA,"Oriental","no","no",1175,NA,NA,"quant","focal obs","feeding visits","yes",180,NA,"3",2007,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Palmeirim 1989","Palmeirim 1989","Palmeirim 1989",10.4333333333333,-83.9833333333333,"139.latlon.id","La Selva","Costa Rica",NA,"Panamanian","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",620,NA,"1",1985,"comp","repr","comp","comp","no","no","no","no","no","no",NA,"Panamanian"
"Passos 2003","Passos 2003","Passos 2003",-24.26667,-48.4,"68.latlon.id","Parque Estadual de Intervales","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,NA,"12",2000,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Pedro 1992","Pedro 1992","Pedro 1992",-19.175,-48.4,"28.latlon.id","Reserva Ecologica do Panga","Brazil",NA,"South American","no","no",800,NA,NA,"quant","mistnetting","fecal with species","yes",NA,NA,"25",1989,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Pejchar 2015","Pejchar 2015","Pejchar 2015",19.8,-155.3,"180.latlon.id","Big Island","Hawaii","multiple locations in Hawaii","North American","no","yes",1440,NA,NA,"quant","mist netting","percentage of seeds","no",NA,NA,"3",2006,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Peredo 2013 Sierra del Aramo","Peredo 2013","Peredo 2013 Sierra del Aramo",43.2355555555556,-5.93555555555556,"259.latlon.id","Sierra del Aramo","Spain",NA,"Eurasian","no","no",1220,NA,NA,"quant","found feces","seeds","no",NA,NA,"6",2011,"comp","repr","no","no","no","comp","comp","no","no","no",NA,"Palearctic"
"Peredo 2013 Puertos de Marabio","Peredo 2013","Peredo 2013 Puertos de Marabio",43.2352777777778,-6.12083333333333,"260.latlon.id","Puertos de Marabio","Spain",NA,"Eurasian","no","no",950,NA,NA,"quant","found feces","seeds","no",NA,NA,"6",2011,"comp","repr","no","no","no","comp","comp","no","no","no",NA,"Palearctic"
"Peredo 2013 Sierra de PenaMayor","Peredo 2013","Peredo 2013 Sierra de PenaMayor",43.3097222222222,-5.51111111111111,"262.latlon.id","Sierra de Pena Mayor","Spain",NA,"Eurasian","no","no",1020,NA,NA,"quant","found feces","seeds","no",NA,NA,"6",2011,"comp","repr","no","no","no","comp","comp","no","no","no",NA,"Palearctic"
"Peredo 2013 Pto de San Lorenzo","Peredo 2013","Peredo 2013 Pto de San Lorenzo",43.1411111111111,-6.195,"258.latlon.id","Puerto de San Lorenzo","Spain",NA,"Eurasian","no","no",1340,NA,NA,"quant","found feces","seeds","no",NA,NA,"6",2011,"comp","repr","no","no","no","comp","comp","no","no","no",NA,"Palearctic"
"Perez-Torres 2004","Perez-Torres 2004","Perez-Torres 2004",4.77277777777778,-74.4030555555556,"240.latlon.id","Sabana de Bogota","Colombia",NA,"Amazonian","no","no",2800,NA,NA,"bin","mist netting","binary fecal","no",NA,NA,"36",1999,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Plein 2013 Farmland summer","Plein 2013","Plein 2013 Farmland summer",50.55,9.21666666666667,"268.latlon.id","Friedberg","Germany",NA,"Eurasian","no","no",120,"summer","farmland","bin","general obs","binary feeding visit","no",NA,NA,"12",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Plein 2013 Farmland autumn","Plein 2013","Plein 2013 Farmland autumn",50.55,9.21666666666667,"268.latlon.id","Friedberg","Germany",NA,"Eurasian","no","no",120,"autumn","farmland","bin","general obs","binary feeding visit","no",NA,NA,"12",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Plein 2013 Orchard summer","Plein 2013","Plein 2013 Orchard summer",50.55,9.21666666666667,"268.latlon.id","Friedberg","Germany",NA,"Eurasian","no","no",120,"summer","orchard","bin","general obs","binary feeding visit","no",NA,NA,"12",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Plein 2013 Orchard autumn","Plein 2013","Plein 2013 Orchard autumn",50.55,9.21666666666667,"268.latlon.id","Friedberg","Germany",NA,"Eurasian","no","no",120,"autumn","orchard","bin","general obs","binary feeding visit","no",NA,NA,"12",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Plein 2013 Forest summer","Plein 2013","Plein 2013 Forest summer",50.55,9.21666666666667,"268.latlon.id","Friedberg","Germany",NA,"Eurasian","no","no",120,"summer","forest","bin","general obs","binary feeding visit","no",NA,NA,"12",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Plein 2013 Forest autumn","Plein 2013","Plein 2013 Forest autumn",50.55,9.21666666666667,"268.latlon.id","Friedberg","Germany",NA,"Eurasian","no","no",120,"autumn","forest","bin","general obs","binary feeding visit","no",NA,NA,"12",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Poulsen 2001 2002 primates","Poulsen 2001 2002 primates","Poulsen 2001 2002 primates",3.13,13.18,"210.latlon.id","Dja Reserve","Cameroon",NA,"Guineo-Congolian","no","no",NA,NA,NA,"bin","animal follows, found feces","binary fecal or feeding visit","no",NA,NA,"not reported",NA,"comp","repr","no","no","comp","no","no","no","no","no",NA,"Afrotropical"
"Prather 2000","Prather 2000","Prather 2000",36.138,-94.122,"220.latlon.id","Northwest Arkansas","USA",NA,"North American","no","no",NA,NA,NA,"bin","mist netting","binary fecal","no",NA,NA,"38",1997,"sub","repr","comp","no","no","no","no","no","no","no",NA,"Nearctic"
"Pratt 1985","Pratt 1985","Pratt 1985",-7.214,146.8,"128.latlon.id","Mount Missim","Papua New Guinea",NA,"Papua-Melansian","yes","no",1600,NA,NA,"quant","focal obs","feeding visits","yes",276,NA,"32",1979,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oceanian"
"Preciado-Benitez 2015","Preciado-Benitez 2015","Preciado-Benitez 2015",17,-93.6,"159.latlon.id","Selva El Ocote Biosphere Reserve","Mexico",NA,"Panamanian","no","no",1150,NA,NA,"quant","mistnetting","fecal with species","yes",NA,41,"5",2012,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Purificacao 2014 forest rainy","Purificacao 2014","Purificacao 2014 forest rainy",-15.8666666666667,-51.2666666666667,"15.latlon.id","Serra Azul State Park","Brazil",NA,"Amazonian","no","no",650,"rainy",NA,"bin","transect walk, focal obs","binary feeding visit","no",NA,NA,"36",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Purificacao 2014 forest dry","Purificacao 2014","Purificacao 2014 forest dry",-15.8666666666667,-51.2666666666667,"15.latlon.id","Serra Azul State Park","Brazil",NA,"Amazonian","no","no",650,"dry",NA,"bin","transect walk, focal obs","binary feeding visit","no",NA,NA,"36",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Purificacao 2014 savannah rainy","Purificacao 2014","Purificacao 2014 savannah rainy",-15.8666666666667,-51.2666666666667,"15.latlon.id","Serra Azul State Park","Brazil",NA,"Amazonian","no","no",650,"rainy",NA,"bin","transect walk, focal obs","binary feeding visit","no",NA,NA,"36",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Purificacao 2014 savannah dry","Purificacao 2014","Purificacao 2014 savannah dry",-15.8666666666667,-51.2666666666667,"15.latlon.id","Serra Azul State Park","Brazil",NA,"Amazonian","no","no",650,"dry",NA,"bin","transect walk, focal obs","binary feeding visit","no",NA,NA,"36",2011,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Quijano-Vasquez 2017","Quijano-Vasquez 2017","Quijano-Vasquez 2017",14.4,-89.33,"151.latlon.id","Parque Nacional Montecristo","El Salvador",NA,"Panamanian","no","no",NA,NA,NA,"bin","mist netting","binary fecal","no",NA,NA,"6",2015,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Quitian 2018 1000Fragmented","Quitian 2018","Quitian 2018 1000Fragmented",-4.1,-78.966667,"102.latlon.id","Podocarpus National Park and San Francisco Reserve","Ecuador",NA,"Amazonian","no","no",1000,NA,"Fragmented","quant","transect walk","feeding visits","yes",300,NA,"18",2015,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Neotropical"
"Quitian 2018 1000Natural","Quitian 2018","Quitian 2018 1000Natural",-4.1,-78.966667,"102.latlon.id","Podocarpus National Park and San Francisco Reserve","Ecuador",NA,"Amazonian","no","no",1000,NA,NA,"quant","transect walk","feeding visits","yes",300,NA,"18",2015,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Neotropical"
"Quitian 2018 2000Fragmented","Quitian 2018","Quitian 2018 2000Fragmented",-3.966666,-79.0666666,"91.latlon.id","Podocarpus National Park and San Francisco Reserve","Ecuador",NA,"Amazonian","no","no",2000,NA,"Fragmented","quant","transect walk","feeding visits","yes",300,NA,"18",2015,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Neotropical"
"Quitian 2018 2000Natural","Quitian 2018","Quitian 2018 2000Natural",-3.966666,-79.0666666,"91.latlon.id","Podocarpus National Park and San Francisco Reserve","Ecuador",NA,"Amazonian","no","no",2000,NA,NA,"quant","transect walk","feeding visits","yes",300,NA,"18",2015,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Neotropical"
"Quitian 2018 3000Fragmented","Quitian 2018","Quitian 2018 3000Fragmented",-4.1,-79.166666,"103.latlon.id","Podocarpus National Park and San Francisco Reserve","Ecuador",NA,"Amazonian","no","no",3000,NA,"Fragmented","quant","transect walk","feeding visits","yes",300,NA,"18",2015,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Neotropical"
